yyyy,price,d12,e12,ret,retx,AAA,BAA,lty,ltr,corpr,tbl,Rfree,d/p,d/y,e/p,d/e,b/m,tms,dfy,dfr,infl,eqis,ntis,svar,cay,i/k,csp,pce,vp,impvar,vrp,govik,lzrt,skew,crdstd,ogap,wtexas,accrul,cfacc,sntm,ndrbl,skvw,tail,fbm,dtoy,dtoat,ygap,rdsp,rsvix,gpce,gip,tchi,house,avgcor,shtint,disag
1871,4.74,0.26,0.40,,,,,,,,,0.049610,0.054852,0.056034,0.084388,0.650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,5.07,0.30,0.43,,,,,,,,,0.074134,0.059172,0.060606,0.084813,0.697674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1873,4.42,0.33,0.46,,,,,,,,,0.091715,0.074661,0.081683,0.104072,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1874,4.54,0.33,0.46,,,,,,,,,0.058314,0.072687,0.072210,0.101322,0.717391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1875,4.37,0.30,0.36,,,,,,,,,0.045897,0.068650,0.068650,0.082380,0.833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1876,3.58,0.30,0.28,,,,,,,,,0.043973,0.083799,0.083333,0.078212,1.071429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1877,3.25,0.19,0.30,,,,,,,,,0.042278,0.058462,0.058282,0.092308,0.633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,3.45,0.18,0.31,,,,,,,,,0.038657,0.052174,0.051873,0.089855,0.580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1879,4.92,0.20,0.38,,,,,,,,,0.040892,0.040650,0.040568,0.077236,0.526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880,5.84,0.26,0.49,,,,,,,,,0.043404,0.044521,0.046346,0.083904,0.530612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881,6.01,0.32,0.44,,,,,,,,,0.042232,0.053245,0.051696,0.073211,0.727273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1882,5.84,0.32,0.43,,,,,,,,,0.049152,0.054795,0.055077,0.073630,0.744186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1883,5.34,0.33,0.40,,,,,,,,,0.049154,0.061798,0.060440,0.074906,0.825000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884,4.34,0.31,0.31,,,,,,,,,0.043679,0.071429,0.071264,0.071429,1.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
